State/Country,Year, Labour Force ('000) 
Johor,2016,"1,639.1"
Kedah,2016,910.9
Kelantan,2016,657.8
Malaysia,2016,"14,667.8"
Melaka,2016,400.8
Negeri Sembilan,2016,479.7
Pahang,2016,710.5
Perak,2016,"1,023.1"
Perlis,2016,103.2
Pulau Pinang,2016,845.5
Sabah,2016,"1,927.1"
Sarawak,2016,"1,260.1"
Selangor,2016,"3,325.0"
Terengganu,2016,447.2
W.P Labuan,2016,43.6
W.P. Kuala Lumpur,2016,855.4
W.P.Putrajaya,2016,38.9
Johor,2015,"1,633.2"
Kedah,2015,905.3
Kelantan,2015,676.2
Malaysia,2015,"14,518.0"
Melaka,2015,402.4
Negeri Sembilan,2015,483.6
Pahang,2015,718.2
Perak,2015,"1,014.3"
Perlis,2015,101.1
Pulau Pinang,2015,848.1
Sabah,2015,"1,863.4"
Sarawak,2015,"1,258.3"
Selangor,2015,"3,212.9"
Terengganu,2015,438.0
W.P Labuan,2015,41.5
W.P. Kuala Lumpur,2015,882.6
W.P.Putrajaya,2015,38.9
Johor,2014,"1,621.1"
Kedah,2014,884.1
Kelantan,2014,646.2
Malaysia,2014,"14,263.6"
Melaka,2014,398.3
Negeri Sembilan,2014,480.9
Pahang,2014,702.1
Perak,2014,987.2
Perlis,2014,98.5
Pulau Pinang,2014,852.5
Sabah,2014,"1,831.6"
Sarawak,2014,"1,271.4"
Selangor,2014,"3,096.0"
Terengganu,2014,432.8
W.P Labuan,2014,43.0
W.P. Kuala Lumpur,2014,877.0
W.P.Putrajaya,2014,40.8
Johor,2013,"1,598.9"
Kedah,2013,862.8
Kelantan,2013,619.8
Malaysia,2013,"13,980.5"
Melaka,2013,378.3
Negeri Sembilan,2013,478.9
Pahang,2013,678.9
Perak,2013,985.2
Perlis,2013,97.9
Pulau Pinang,2013,826.1
Sabah,2013,"1,801.7"
Sarawak,2013,"1,234.2"
Selangor,2013,"3,006.2"
Terengganu,2013,421.3
W.P Labuan,2013,41.8
W.P. Kuala Lumpur,2013,907.3
W.P.Putrajaya,2013,41.2
Johor,2012,"1,529.4"
Kedah,2012,810.3
Kelantan,2012,592.3
Malaysia,2012,"13,221.7"
Melaka,2012,358.8
Negeri Sembilan,2012,455.7
Pahang,2012,650.9
Perak,2012,955.4
Perlis,2012,90.6
Pulau Pinang,2012,795.8
Sabah,2012,"1,627.9"
Sarawak,2012,"1,184.9"
Selangor,2012,"2,842.6"
Terengganu,2012,401.8
W.P Labuan,2012,41.3
W.P. Kuala Lumpur,2012,842.9
W.P.Putrajaya,2012,40.9
Johor,2011,"1,499.9"
Kedah,2011,770.0
Kelantan,2011,555.4
Malaysia,2011,"12,740.7"
Melaka,2011,343.3
Negeri Sembilan,2011,429.1
Pahang,2011,624.6
Perak,2011,944.6
Perlis,2011,86.8
Pulau Pinang,2011,787.5
Sabah,2011,"1,562.5"
Sarawak,2011,"1,103.4"
Selangor,2011,"2,710.8"
Terengganu,2011,403.2
W.P Labuan,2011,40.3
W.P. Kuala Lumpur,2011,837.6
W.P.Putrajaya,2011,41.9
Johor,2010,"1,453.5"
Kedah,2010,746.9
Kelantan,2010,547.2
Malaysia,2010,"12,303.9"
Melaka,2010,338.6
Negeri Sembilan,2010,418.3
Pahang,2010,608.4
Perak,2010,906.0
Perlis,2010,83.6
Pulau Pinang,2010,759.0
Sabah,2010,"1,480.7"
Sarawak,2010,"1,093.7"
Selangor,2010,"2,634.4"
Terengganu,2010,380.6
W.P Labuan,2010,40.0
W.P. Kuala Lumpur,2010,812.9
W.P.Putrajaya,2010,
Johor,2009,"1,350.0"
Kedah,2009,732.6
Kelantan,2009,517.8
Malaysia,2009,"11,315.3"
Melaka,2009,290.9
Negeri Sembilan,2009,402.2
Pahang,2009,622.3
Perak,2009,923.7
Perlis,2009,84.3
Pulau Pinang,2009,707.1
Sabah,2009,"1,345.3"
Sarawak,2009,"1,024.2"
Selangor,2009,"2,173.3"
Terengganu,2009,405.6
W.P Labuan,2009,37.6
W.P. Kuala Lumpur,2009,698.3
W.P.Putrajaya,2009,
Johor,2008,"1,313.1"
Kedah,2008,703.0
Kelantan,2008,500.9
Malaysia,2008,"11,028.1"
Melaka,2008,290.0
Negeri Sembilan,2008,399.3
Pahang,2008,605.7
Perak,2008,892.6
Perlis,2008,84.0
Pulau Pinang,2008,688.4
Sabah,2008,"1,294.2"
Sarawak,2008,973.0
Selangor,2008,"2,159.8"
Terengganu,2008,388.8
W.P Labuan,2008,34.5
W.P. Kuala Lumpur,2008,701.0
W.P.Putrajaya,2008,
Johor,2007,"1,313.6"
Kedah,2007,693.1
Kelantan,2007,486.2
Malaysia,2007,"10,889.5"
Melaka,2007,290.4
Negeri Sembilan,2007,395.8
Pahang,2007,580.2
Perak,2007,877.9
Perlis,2007,82.5
Pulau Pinang,2007,667.6
Sabah,2007,"1,267.7"
Sarawak,2007,997.4
Selangor,2007,"2,128.0"
Terengganu,2007,372.7
W.P Labuan,2007,34.1
W.P. Kuala Lumpur,2007,702.4
W.P.Putrajaya,2007,
Johor,2006,"1,285.8"
Kedah,2006,682.4
Kelantan,2006,469.8
Malaysia,2006,"10,628.9"
Melaka,2006,276.7
Negeri Sembilan,2006,394.5
Pahang,2006,571.3
Perak,2006,845.5
Perlis,2006,77.0
Pulau Pinang,2006,658.9
Sabah,2006,"1,230.4"
Sarawak,2006,958.0
Selangor,2006,"2,084.4"
Terengganu,2006,364.6
W.P Labuan,2006,33.7
W.P. Kuala Lumpur,2006,696.1
W.P.Putrajaya,2006,
Johor,2005,"1,280.0"
Kedah,2005,677.8
Kelantan,2005,454.2
Malaysia,2005,"10,413.4"
Melaka,2005,274.5
Negeri Sembilan,2005,386.7
Pahang,2005,542.7
Perak,2005,828.8
Perlis,2005,76.2
Pulau Pinang,2005,634.9
Sabah,2005,"1,181.9"
Sarawak,2005,950.3
Selangor,2005,"2,048.8"
Terengganu,2005,353.1
W.P Labuan,2005,32.2
W.P. Kuala Lumpur,2005,691.4
W.P.Putrajaya,2005,
Johor,2004,"1,278.8"
Kedah,2004,680.3
Kelantan,2004,455.1
Malaysia,2004,"10,346.2"
Melaka,2004,269.5
Negeri Sembilan,2004,373.6
Pahang,2004,544.0
Perak,2004,818.3
Perlis,2004,76.3
Pulau Pinang,2004,636.7
Sabah,2004,"1,156.9"
Sarawak,2004,955.2
Selangor,2004,"2,028.1"
Terengganu,2004,347.9
W.P Labuan,2004,34.0
W.P. Kuala Lumpur,2004,691.6
W.P.Putrajaya,2004,
Johor,2003,"1,315.3"
Kedah,2003,680.1
Kelantan,2003,491.6
Malaysia,2003,"10,239.6"
Melaka,2003,280.6
Negeri Sembilan,2003,352.3
Pahang,2003,477.1
Perak,2003,771.4
Perlis,2003,80.1
Pulau Pinang,2003,686.3
Sabah,2003,"1,134.5"
Sarawak,2003,946.4
Selangor,2003,"1,895.3"
Terengganu,2003,355.1
W.P Labuan,2003,33.3
W.P. Kuala Lumpur,2003,740.3
W.P.Putrajaya,2003,
Johor,2002,"1,259.0"
Kedah,2002,666.5
Kelantan,2002,439.7
Malaysia,2002,"9,886.2"
Melaka,2002,236.2
Negeri Sembilan,2002,337.2
Pahang,2002,419.0
Perak,2002,820.6
Perlis,2002,58.8
Pulau Pinang,2002,657.2
Sabah,2002,"1,093.2"
Sarawak,2002,955.8
Selangor,2002,"1,803.2"
Terengganu,2002,288.9
W.P Labuan,2002,34.0
W.P. Kuala Lumpur,2002,816.9
W.P.Putrajaya,2002,
Johor,2001,"1,279.0"
Kedah,2001,727.4
Kelantan,2001,448.0
Malaysia,2001,"9,699.4"
Melaka,2001,272.6
Negeri Sembilan,2001,362.8
Pahang,2001,451.6
Perak,2001,761.3
Perlis,2001,85.9
Pulau Pinang,2001,733.3
Sabah,2001,"1,048.0"
Sarawak,2001,918.0
Selangor,2001,"1,552.5"
Terengganu,2001,307.1
W.P Labuan,2001,28.7
W.P. Kuala Lumpur,2001,723.2
W.P.Putrajaya,2001,
Johor,2000,"1,222.4"
Kedah,2000,645.2
Kelantan,2000,437.2
Malaysia,2000,"9,556.1"
Melaka,2000,256.9
Negeri Sembilan,2000,359.6
Pahang,2000,459.1
Perak,2000,771.3
Perlis,2000,77.0
Pulau Pinang,2000,682.3
Sabah,2000,991.6
Sarawak,2000,915.7
Selangor,2000,"1,715.3"
Terengganu,2000,315.4
W.P Labuan,2000,26.7
W.P. Kuala Lumpur,2000,680.4
W.P.Putrajaya,2000,
Johor,1999,"1,060.4"
Kedah,1999,701.4
Kelantan,1999,451.1
Malaysia,1999,"9,151.5"
Melaka,1999,247.9
Negeri Sembilan,1999,285.8
Pahang,1999,396.2
Perak,1999,715.4
Perlis,1999,81.2
Pulau Pinang,1999,617.5
Sabah,1999,"1,167.2"
Sarawak,1999,906.9
Selangor,1999,"1,455.0"
Terengganu,1999,312.3
W.P Labuan,1999,42.9
W.P. Kuala Lumpur,1999,710.4
W.P.Putrajaya,1999,
Johor,1998,"1,044.3"
Kedah,1998,587.1
Kelantan,1998,449.1
Malaysia,1998,"8,883.6"
Melaka,1998,248.6
Negeri Sembilan,1998,315.7
Pahang,1998,374.8
Perak,1998,712.7
Perlis,1998,74.2
Pulau Pinang,1998,599.3
Sabah,1998,"1,123.7"
Sarawak,1998,868.1
Selangor,1998,"1,457.0"
Terengganu,1998,305.6
W.P Labuan,1998,37.9
W.P. Kuala Lumpur,1998,685.6
W.P.Putrajaya,1998,
Johor,1997,"1,076.9"
Kedah,1997,616.6
Kelantan,1997,429.3
Malaysia,1997,"8,784.0"
Melaka,1997,261.5
Negeri Sembilan,1997,315.7
Pahang,1997,407.6
Perak,1997,760.6
Perlis,1997,71.8
Pulau Pinang,1997,558.0
Sabah,1997,"1,048.5"
Sarawak,1997,864.9
Selangor,1997,"1,343.0"
Terengganu,1997,292.9
W.P Labuan,1997,35.9
W.P. Kuala Lumpur,1997,700.7
W.P.Putrajaya,1997,
Johor,1996,"1,018.4"
Kedah,1996,549.8
Kelantan,1996,460.8
Malaysia,1996,"8,616.0"
Melaka,1996,240.6
Negeri Sembilan,1996,327.5
Pahang,1996,417.0
Perak,1996,746.9
Perlis,1996,71.5
Pulau Pinang,1996,452.4
Sabah,1996,"1,032.3"
Sarawak,1996,869.5
Selangor,1996,"1,371.1"
Terengganu,1996,308.1
W.P Labuan,1996,39.4
W.P. Kuala Lumpur,1996,710.8
W.P.Putrajaya,1996,
Johor,1995,915.4
Kedah,1995,531.7
Kelantan,1995,427.6
Malaysia,1995,"7,893.1"
Melaka,1995,227.9
Negeri Sembilan,1995,305.6
Pahang,1995,385.1
Perak,1995,659.9
Perlis,1995,71.8
Pulau Pinang,1995,492.7
Sabah,1995,764.7
Sarawak,1995,828.6
Selangor,1995,"1,366.0"
Terengganu,1995,284.9
W.P Labuan,1995,32.6
W.P. Kuala Lumpur,1995,598.4
W.P.Putrajaya,1995,
Johor,1993,"1,003.0"
Kedah,1993,492.8
Kelantan,1993,413.7
Malaysia,1993,"7,700.1"
Melaka,1993,225.6
Negeri Sembilan,1993,292.6
Pahang,1993,393.2
Perak,1993,699.6
Perlis,1993,71.7
Pulau Pinang,1993,543.1
Sabah,1993,725.3
Sarawak,1993,810.2
Selangor,1993,"1,110.1"
Terengganu,1993,302.1
W.P Labuan,1993,18.4
W.P. Kuala Lumpur,1993,598.6
W.P.Putrajaya,1993,
Johor,1992,947.1
Kedah,1992,514.0
Kelantan,1992,404.1
Malaysia,1992,"7,319.0"
Melaka,1992,214.4
Negeri Sembilan,1992,259.8
Pahang,1992,428.9
Perak,1992,719.7
Perlis,1992,68.8
Pulau Pinang,1992,521.4
Sabah,1992,524.3
Sarawak,1992,771.1
Selangor,1992,"1,092.8"
Terengganu,1992,267.7
W.P Labuan,1992,15.4
W.P. Kuala Lumpur,1992,569.6
W.P.Putrajaya,1992,
Johor,1990,949.1
Kedah,1990,489.3
Kelantan,1990,390.7
Malaysia,1990,"7,000.2"
Melaka,1990,187.8
Negeri Sembilan,1990,224.5
Pahang,1990,442.5
Perak,1990,706.8
Perlis,1990,59.7
Pulau Pinang,1990,470.3
Sabah,1990,479.9
Sarawak,1990,775.4
Selangor,1990,"1,060.0"
Terengganu,1990,244.6
W.P Labuan,1990,15.7
W.P. Kuala Lumpur,1990,503.9
W.P.Putrajaya,1990,
Johor,1989,861.8
Kedah,1989,470.0
Kelantan,1989,388.3
Malaysia,1989,"6,779.4"
Melaka,1989,197.8
Negeri Sembilan,1989,241.0
Pahang,1989,393.8
Perak,1989,726.5
Perlis,1989,70.9
Pulau Pinang,1989,453.9
Sabah,1989,477.5
Sarawak,1989,760.0
Selangor,1989,936.8
Terengganu,1989,262.1
W.P Labuan,1989,14.7
W.P. Kuala Lumpur,1989,524.3
W.P.Putrajaya,1989,
Johor,1988,837.0
Kedah,1988,496.1
Kelantan,1988,393.9
Malaysia,1988,"6,637.0"
Melaka,1988,190.9
Negeri Sembilan,1988,242.5
Pahang,1988,374.8
Perak,1988,715.0
Perlis,1988,70.9
Pulau Pinang,1988,427.8
Sabah,1988,462.6
Sarawak,1988,710.3
Selangor,1988,949.0
Terengganu,1988,253.6
W.P Labuan,1988,13.8
W.P. Kuala Lumpur,1988,498.7
W.P.Putrajaya,1988,
Johor,1987,781.8
Kedah,1987,456.5
Kelantan,1987,375.0
Malaysia,1987,"6,456.8"
Melaka,1987,192.1
Negeri Sembilan,1987,240.0
Pahang,1987,354.1
Perak,1987,728.8
Perlis,1987,64.9
Pulau Pinang,1987,432.8
Sabah,1987,466.5
Sarawak,1987,712.2
Selangor,1987,916.6
Terengganu,1987,236.5
W.P Labuan,1987,13.6
W.P. Kuala Lumpur,1987,485.5
W.P.Putrajaya,1987,
Johor,1986,751.2
Kedah,1986,455.0
Kelantan,1986,365.1
Malaysia,1986,"6,222.1"
Melaka,1986,187.7
Negeri Sembilan,1986,229.5
Pahang,1986,331.6
Perak,1986,734.2
Perlis,1986,62.6
Pulau Pinang,1986,427.2
Sabah,1986,441.6
Sarawak,1986,674.8
Selangor,1986,823.7
Terengganu,1986,241.4
W.P Labuan,1986,15.3
W.P. Kuala Lumpur,1986,481.3
W.P.Putrajaya,1986,
Johor,1985,710.4
Kedah,1985,445.4
Kelantan,1985,344.3
Malaysia,1985,"5,990.1"
Melaka,1985,180.0
Negeri Sembilan,1985,221.1
Pahang,1985,342.7
Perak,1985,713.1
Perlis,1985,65.5
Pulau Pinang,1985,408.5
Sabah,1985,431.0
Sarawak,1985,632.7
Selangor,1985,740.6
Terengganu,1985,228.9
W.P Labuan,1985,16.3
W.P. Kuala Lumpur,1985,509.7
W.P.Putrajaya,1985,
Johor,1984,688.2
Kedah,1984,442.6
Kelantan,1984,341.0
Malaysia,1984,"5,862.5"
Melaka,1984,171.8
Negeri Sembilan,1984,234.9
Pahang,1984,321.7
Perak,1984,697.2
Perlis,1984,64.8
Pulau Pinang,1984,397.9
Sabah,1984,425.9
Sarawak,1984,616.7
Selangor,1984,718.8
Terengganu,1984,219.3
W.P Labuan,1984,17.3
W.P. Kuala Lumpur,1984,504.5
W.P.Putrajaya,1984,
Johor,1983,650.9
Kedah,1983,388.2
Kelantan,1983,301.3
Malaysia,1983,"5,671.8"
Melaka,1983,170.3
Negeri Sembilan,1983,223.5
Pahang,1983,342.6
Perak,1983,704.9
Perlis,1983,66.0
Pulau Pinang,1983,421.0
Sabah,1983,393.8
Sarawak,1983,569.5
Selangor,1983,757.2
Terengganu,1983,243.1
W.P Labuan,1983,
W.P. Kuala Lumpur,1983,439.6
W.P.Putrajaya,1983,
Johor,1982,653.1
Kedah,1982,403.9
Kelantan,1982,319.4
Malaysia,1982,"5,431.4"
Melaka,1982,174.1
Negeri Sembilan,1982,222.8
Pahang,1982,279.6
Perak,1982,638.6
Perlis,1982,58.1
Pulau Pinang,1982,396.0
Sabah,1982,354.3
Sarawak,1982,539.7
Selangor,1982,691.9
Terengganu,1982,227.2
W.P Labuan,1982,
W.P. Kuala Lumpur,1982,472.6
W.P.Putrajaya,1982,
